S,pC,pD,i,s,t,Time
24.9916638873447,0.0,0.0,3,b1,0,2020-01-01 00:15
24.9895802935344,0.0,0.0,3,b1,1,2020-01-01 00:15
24.9874968734366,0.0,0.0,3,b1,2,2020-01-01 00:15
24.9854136270367,0.0,0.0,3,b1,3,2020-01-01 00:15
24.9833305543203,0.0,0.0,3,b1,4,2020-01-01 00:15
24.9812476552729,0.0,0.0,3,b1,5,2020-01-01 00:15
24.9791649298801,0.0,0.0,3,b1,6,2020-01-01 00:15
24.9770823781273,0.0,0.0,3,b1,7,2020-01-01 00:15
24.975,0.0,0.0,3,b1,8,2020-01-01 00:15
24.9729177954839,0.0,0.0,3,b1,9,2020-01-01 00:15
24.9708357645644,0.0,0.0,3,b1,10,2020-01-01 00:15
25.0,0.937382783188916,0.0,3,b1,11,2020-01-01 00:15
0.0,-0.0,0.0,4,f1,0,2020-01-01 00:20
3.95833333333333,50.0,0.0,4,f1,1,2020-01-01 00:20
0.0,0.0,45.5204151097895,4,f1,2,2020-01-01 00:20
0.0,0.0,0.0,4,f1,3,2020-01-01 00:20
0.0,-0.0,0.0,4,f1,4,2020-01-01 00:20
0.0,-0.0,0.0,4,f1,5,2020-01-01 00:20
0.0,-0.0,0.0,4,f1,6,2020-01-01 00:20
0.0,-0.0,0.0,4,f1,7,2020-01-01 00:20
0.0,-0.0,0.0,4,f1,8,2020-01-01 00:20
0.0,-0.0,0.0,4,f1,9,2020-01-01 00:20
0.0434786603306051,0.549204130491853,0.0,4,f1,10,2020-01-01 00:20
4.0,50.0,0.0,4,f1,11,2020-01-01 00:20
24.9895802935344,0.0,0.0,4,b1,0,2020-01-01 00:20
24.9874968734366,0.0,0.0,4,b1,1,2020-01-01 00:20
24.9854136270367,0.0,0.0,4,b1,2,2020-01-01 00:20
24.9833305543203,0.0,0.0,4,b1,3,2020-01-01 00:20
24.9812476552729,0.0,0.0,4,b1,4,2020-01-01 00:20
24.9791649298801,0.0,0.0,4,b1,5,2020-01-01 00:20
24.9770823781273,0.0,0.0,4,b1,6,2020-01-01 00:20
24.9750000000001,0.0,0.0,4,b1,7,2020-01-01 00:20
24.9729177954839,0.0,0.0,4,b1,8,2020-01-01 00:20
24.9708357645644,0.0,0.0,4,b1,9,2020-01-01 00:20
24.9687539072271,0.0,0.0,4,b1,10,2020-01-01 00:20
25.0,0.999833296278929,0.0,4,b1,11,2020-01-01 00:20
3.95833333333333,50.0,0.0,5,f1,0,2020-01-01 00:25
0.0,0.0,45.5204151097895,5,f1,1,2020-01-01 00:25
0.0,0.0,0.0,5,f1,2,2020-01-01 00:25
0.0,-0.0,0.0,5,f1,3,2020-01-01 00:25
0.0,-0.0,0.0,5,f1,4,2020-01-01 00:25
0.0,-0.0,0.0,5,f1,5,2020-01-01 00:25
0.0,-0.0,0.0,5,f1,6,2020-01-01 00:25
0.0,-0.0,0.0,5,f1,7,2020-01-01 00:25
0.0,-0.0,0.0,5,f1,8,2020-01-01 00:25
0.0,-0.0,0.0,5,f1,9,2020-01-01 00:25
0.0434786603306051,0.549204130491853,0.0,5,f1,10,2020-01-01 00:25
4.0,50.0,0.0,5,f1,11,2020-01-01 00:25
24.9874968734366,0.0,0.0,5,b1,0,2020-01-01 00:25
23.3527956187018,0.0,19.5914161000183,5,b1,1,2020-01-01 00:25
23.3508486598829,0.0,0.0,5,b1,2,2020-01-01 00:25
23.348901863385,0.0,0.0,5,b1,3,2020-01-01 00:25
23.3469552291946,0.0,0.0,5,b1,4,2020-01-01 00:25
23.345008757298,0.0,0.0,5,b1,5,2020-01-01 00:25
23.3430624476819,0.0,0.0,5,b1,6,2020-01-01 00:25
23.3411163003326,0.0,0.0,5,b1,7,2020-01-01 00:25
23.3391703152366,0.0,0.0,5,b1,8,2020-01-01 00:25
23.3372244923804,0.0,0.0,5,b1,9,2020-01-01 00:25
23.3352788317505,0.0,0.0,5,b1,10,2020-01-01 00:25
25.0,49.9999999999999,0.0,5,b1,11,2020-01-01 00:25
0.0,0.0,45.5204151097895,6,f1,0,2020-01-01 00:30
0.0,0.0,0.0,6,f1,1,2020-01-01 00:30
0.0,-0.0,0.0,6,f1,2,2020-01-01 00:30
0.0,-0.0,0.0,6,f1,3,2020-01-01 00:30
0.0,-0.0,0.0,6,f1,4,2020-01-01 00:30
0.0,-0.0,0.0,6,f1,5,2020-01-01 00:30
0.0,-0.0,0.0,6,f1,6,2020-01-01 00:30
0.0,-0.0,0.0,6,f1,7,2020-01-01 00:30
0.0,-0.0,0.0,6,f1,8,2020-01-01 00:30
0.0,-0.0,0.0,6,f1,9,2020-01-01 00:30
1.08696650826512,13.7301032622962,0.0,6,f1,10,2020-01-01 00:30
5.0,50.0,0.0,6,f1,11,2020-01-01 00:30
21.686685909948,0.0,39.5847326050654,6,b1,0,2020-01-01 00:30
21.6848778572816,0.0,0.0,6,b1,1,2020-01-01 00:30
21.6830699553554,0.0,0.0,6,b1,2,2020-01-01 00:30
21.6812622041569,0.0,0.0,6,b1,3,2020-01-01 00:30
21.6794546036733,0.0,0.0,6,b1,4,2020-01-01 00:30
21.6776471538922,0.0,0.0,6,b1,5,2020-01-01 00:30
21.675839854801,0.0,0.0,6,b1,6,2020-01-01 00:30
21.6740327063871,0.0,0.0,6,b1,7,2020-01-01 00:30
21.672225708638,0.0,0.0,6,b1,8,2020-01-01 00:30
21.6704188615411,0.0,0.0,6,b1,9,2020-01-01 00:30
23.3352788317505,50.0,0.0,6,b1,10,2020-01-01 00:30
25.0,49.9999999999999,0.0,6,b1,11,2020-01-01 00:30
0.0,-0.0,0.0,7,f1,0,2020-01-01 00:35
0.0,-0.0,0.0,7,f1,1,2020-01-01 00:35
0.0,-0.0,0.0,7,f1,2,2020-01-01 00:35
0.0,-0.0,0.0,7,f1,3,2020-01-01 00:35
0.0,-0.0,0.0,7,f1,4,2020-01-01 00:35
0.0,-0.0,0.0,7,f1,5,2020-01-01 00:35
0.0,-0.0,0.0,7,f1,6,2020-01-01 00:35
0.0,-0.0,0.0,7,f1,7,2020-01-01 00:35
0.0,-0.0,0.0,7,f1,8,2020-01-01 00:35
3.95833333333333,50.0,0.0,7,f1,9,2020-01-01 00:35
7.75170125914913,50.0,0.0,7,f1,10,2020-01-01 00:35
4.0,0.0,41.1437454627907,7,f1,11,2020-01-01 00:35
21.6848778572817,0.0,0.0,7,b1,0,2020-01-01 00:35
21.6830699553555,0.0,0.0,7,b1,1,2020-01-01 00:35
21.6812622041569,0.0,0.0,7,b1,2,2020-01-01 00:35
21.6794546036733,0.0,0.0,7,b1,3,2020-01-01 00:35
21.6776471538922,0.0,0.0,7,b1,4,2020-01-01 00:35
21.675839854801,0.0,0.0,7,b1,5,2020-01-01 00:35
21.6740327063872,0.0,0.0,7,b1,6,2020-01-01 00:35
21.672225708638,0.0,0.0,7,b1,7,2020-01-01 00:35
21.6725036717442,0.0625443060903663,0.0,7,b1,8,2020-01-01 00:35
23.3373634681397,49.9999999999999,0.0,7,b1,9,2020-01-01 00:35
25.0020844625898,50.0,0.0,7,b1,10,2020-01-01 00:35
25.0,0.0,0.0,7,b1,11,2020-01-01 00:35
0.0,-0.0,0.0,8,f1,0,2020-01-01 00:40
0.0,-0.0,0.0,8,f1,1,2020-01-01 00:40
0.0,-0.0,0.0,8,f1,2,2020-01-01 00:40
0.0,-0.0,0.0,8,f1,3,2020-01-01 00:40
0.0,-0.0,0.0,8,f1,4,2020-01-01 00:40
0.0,-0.0,0.0,8,f1,5,2020-01-01 00:40
0.0,-0.0,0.0,8,f1,6,2020-01-01 00:40
0.0,-0.0,0.0,8,f1,7,2020-01-01 00:40
3.95833333333333,50.0,0.0,8,f1,8,2020-01-01 00:40
7.75170125914913,50.0,0.0,8,f1,9,2020-01-01 00:40
4.17395139173806,0.0,39.056328761934,8,f1,10,2020-01-01 00:40
4.0,0.0,0.0,8,f1,11,2020-01-01 00:40
21.6830699553555,0.0,0.0,8,b1,0,2020-01-01 00:40
21.6812622041569,0.0,0.0,8,b1,1,2020-01-01 00:40
21.6794546036734,0.0,0.0,8,b1,2,2020-01-01 00:40
21.6776471538923,0.0,0.0,8,b1,3,2020-01-01 00:40
21.6758398548011,0.0,0.0,8,b1,4,2020-01-01 00:40
21.6740327063872,0.0,0.0,8,b1,5,2020-01-01 00:40
21.6722257086381,0.0,0.0,8,b1,6,2020-01-01 00:40
21.6745886557756,0.125093827031897,0.0,8,b1,7,2020-01-01 00:40
23.3394482783428,49.9999999999999,0.0,8,b1,8,2020-01-01 00:40
25.004169098979,50.0,0.0,8,b1,9,2020-01-01 00:40
25.0020844625898,0.0,0.0,8,b1,10,2020-01-01 00:40
25.0,0.0,0.0,8,b1,11,2020-01-01 00:40
0.0,-0.0,0.0,9,f1,0,2020-01-01 00:45
0.0,-0.0,0.0,9,f1,1,2020-01-01 00:45
0.0,-0.0,0.0,9,f1,2,2020-01-01 00:45
0.0,-0.0,0.0,9,f1,3,2020-01-01 00:45
0.0,-0.0,0.0,9,f1,4,2020-01-01 00:45
0.0,-0.0,0.0,9,f1,5,2020-01-01 00:45
0.0,-0.0,0.0,9,f1,6,2020-01-01 00:45
3.95833333333333,50.0,0.0,9,f1,7,2020-01-01 00:45
7.75170125914913,50.0,0.0,9,f1,8,2020-01-01 00:45
0.0453694536994588,0.0,88.5993120183972,9,f1,9,2020-01-01 00:45
0.0434786603306051,0.0,0.0,9,f1,10,2020-01-01 00:45
4.0,50.0,0.0,9,f1,11,2020-01-01 00:45
21.6812622041569,0.0,0.0,9,b1,0,2020-01-01 00:45
21.6794546036734,0.0,0.0,9,b1,1,2020-01-01 00:45
21.6776471538922,0.0,0.0,9,b1,2,2020-01-01 00:45
21.675839854801,0.0,0.0,9,b1,3,2020-01-01 00:45
21.6740327063872,0.0,0.0,9,b1,4,2020-01-01 00:45
21.6722257086381,0.0,0.0,9,b1,5,2020-01-01 00:45
21.6766738136498,0.18764856326019,0.0,9,b1,6,2020-01-01 00:45
23.3415332623742,50.0,0.0,9,b1,7,2020-01-01 00:45
25.0062539091821,50.0,0.0,9,b1,8,2020-01-01 00:45
25.004169098979,0.0,0.0,9,b1,9,2020-01-01 00:45
25.0020844625898,0.0,0.0,9,b1,10,2020-01-01 00:45
25.0,0.0,0.0,9,b1,11,2020-01-01 00:45
0.0,-0.0,0.0,10,f1,0,2020-01-01 00:50
0.0,-0.0,0.0,10,f1,1,2020-01-01 00:50
0.0,-0.0,0.0,10,f1,2,2020-01-01 00:50
0.0,-0.0,0.0,10,f1,3,2020-01-01 00:50
0.0,-0.0,0.0,10,f1,4,2020-01-01 00:50
0.0,-0.0,0.0,10,f1,5,2020-01-01 00:50
3.95833333333333,50.0,0.0,10,f1,6,2020-01-01 00:50
7.75170125914913,50.0,0.0,10,f1,7,2020-01-01 00:50
0.0,0.0,89.1437454627907,10,f1,8,2020-01-01 00:50
0.0,0.0,0.0,10,f1,9,2020-01-01 00:50
0.0434786603306051,0.549204130491853,0.0,10,f1,10,2020-01-01 00:50
4.0,50.0,0.0,10,f1,11,2020-01-01 00:50
21.6794546036733,0.0,0.0,10,b1,0,2020-01-01 00:50
21.6776471538922,0.0,0.0,10,b1,1,2020-01-01 00:50
21.675839854801,0.0,0.0,10,b1,2,2020-01-01 00:50
21.6740327063871,0.0,0.0,10,b1,3,2020-01-01 00:50
21.672225708638,0.0,0.0,10,b1,4,2020-01-01 00:50
21.6787591453814,0.250208515208605,0.0,10,b1,5,2020-01-01 00:50
23.3436184202484,50.0000000000001,0.0,10,b1,6,2020-01-01 00:50
25.0083388932135,50.0,0.0,10,b1,7,2020-01-01 00:50
25.0062539091821,0.0,0.0,10,b1,8,2020-01-01 00:50
25.004169098979,0.0,0.0,10,b1,9,2020-01-01 00:50
25.0020844625898,0.0,0.0,10,b1,10,2020-01-01 00:50
25.0,0.0,0.0,10,b1,11,2020-01-01 00:50
0.0,-0.0,0.0,11,f1,0,2020-01-01 00:55
0.0,-0.0,0.0,11,f1,1,2020-01-01 00:55
0.0,-0.0,0.0,11,f1,2,2020-01-01 00:55
0.0,-0.0,0.0,11,f1,3,2020-01-01 00:55
0.0,-0.0,0.0,11,f1,4,2020-01-01 00:55
3.95833333333333,50.0,0.0,11,f1,5,2020-01-01 00:55
7.75170125914913,50.0,0.0,11,f1,6,2020-01-01 00:55
0.0,0.0,89.1437454627907,11,f1,7,2020-01-01 00:55
0.0,0.0,0.0,11,f1,8,2020-01-01 00:55
0.0,-0.0,0.0,11,f1,9,2020-01-01 00:55
0.0434786603306051,0.549204130491853,0.0,11,f1,10,2020-01-01 00:55
4.0,50.0,0.0,11,f1,11,2020-01-01 00:55
21.6776471538922,0.0,0.0,11,b1,0,2020-01-01 00:55
21.675839854801,0.0,0.0,11,b1,1,2020-01-01 00:55
21.6740327063871,0.0,0.0,11,b1,2,2020-01-01 00:55
21.672225708638,0.0,0.0,11,b1,3,2020-01-01 00:55
21.6808446509849,0.312773683313061,0.0,11,b1,4,2020-01-01 00:55
23.34570375198,50.0000000000001,0.0,11,b1,5,2020-01-01 00:55
25.0104240510877,50.0,0.0,11,b1,6,2020-01-01 00:55
25.0083388932135,0.0,0.0,11,b1,7,2020-01-01 00:55
25.0062539091821,0.0,0.0,11,b1,8,2020-01-01 00:55
25.004169098979,0.0,0.0,11,b1,9,2020-01-01 00:55
25.0020844625898,0.0,0.0,11,b1,10,2020-01-01 00:55
25.0,0.0,0.0,11,b1,11,2020-01-01 00:55
0.0,-0.0,0.0,12,f1,0,2020-01-01 01:00
0.0,-0.0,0.0,12,f1,1,2020-01-01 01:00
0.0,-0.0,0.0,12,f1,2,2020-01-01 01:00
0.0,-0.0,0.0,12,f1,3,2020-01-01 01:00
3.95833333333333,50.0,0.0,12,f1,4,2020-01-01 01:00
7.75170125914913,50.0,0.0,12,f1,5,2020-01-01 01:00
0.0,0.0,89.1437454627907,12,f1,6,2020-01-01 01:00
0.0,0.0,0.0,12,f1,7,2020-01-01 01:00
0.0,-0.0,0.0,12,f1,8,2020-01-01 01:00
0.0,-0.0,0.0,12,f1,9,2020-01-01 01:00
0.0434786603306051,0.549204130491853,0.0,12,f1,10,2020-01-01 01:00
4.0,50.0,0.0,12,f1,11,2020-01-01 01:00
21.675839854801,0.0,0.0,12,b1,0,2020-01-01 01:00
21.6740327063871,0.0,0.0,12,b1,1,2020-01-01 01:00
21.672225708638,0.0,0.0,12,b1,2,2020-01-01 01:00
21.6829303304746,0.375344068006385,0.0,12,b1,3,2020-01-01 01:00
23.3477892575835,50.0,0.0,12,b1,4,2020-01-01 01:00
25.0125093828193,49.9999999999999,0.0,12,b1,5,2020-01-01 01:00
25.0104240510877,0.0,0.0,12,b1,6,2020-01-01 01:00
25.0083388932135,0.0,0.0,12,b1,7,2020-01-01 01:00
25.0062539091821,0.0,0.0,12,b1,8,2020-01-01 01:00
25.004169098979,0.0,0.0,12,b1,9,2020-01-01 01:00
25.0020844625898,0.0,0.0,12,b1,10,2020-01-01 01:00
25.0,0.0,0.0,12,b1,11,2020-01-01 01:00
0.0,-0.0,0.0,13,f1,0,2020-01-01 01:05
0.0,-0.0,0.0,13,f1,1,2020-01-01 01:05
0.0,-0.0,0.0,13,f1,2,2020-01-01 01:05
3.95833333333333,50.0,0.0,13,f1,3,2020-01-01 01:05
7.75170125914913,50.0,0.0,13,f1,4,2020-01-01 01:05
0.0,0.0,89.1437454627907,13,f1,5,2020-01-01 01:05
0.0,0.0,0.0,13,f1,6,2020-01-01 01:05
0.0,-0.0,0.0,13,f1,7,2020-01-01 01:05
0.0,-0.0,0.0,13,f1,8,2020-01-01 01:05
0.0,-0.0,0.0,13,f1,9,2020-01-01 01:05
0.0434786603306051,0.549204130491853,0.0,13,f1,10,2020-01-01 01:05
4.0,50.0,0.0,13,f1,11,2020-01-01 01:05
21.6740327063871,0.0,0.0,13,b1,0,2020-01-01 01:05
21.672225708638,0.0,0.0,13,b1,1,2020-01-01 01:05
21.6704188615411,0.0,0.0,13,b1,2,2020-01-01 01:05
23.3352788317505,50.0,0.0,13,b1,3,2020-01-01 01:05
25.0,50.0,0.0,13,b1,4,2020-01-01 01:05
23.345008757298,0.0,19.8348834467643,13,b1,5,2020-01-01 01:05
23.3430624476819,0.0,0.0,13,b1,6,2020-01-01 01:05
23.3411163003326,0.0,0.0,13,b1,7,2020-01-01 01:05
23.3391703152366,0.0,0.0,13,b1,8,2020-01-01 01:05
23.3372244923804,0.0,0.0,13,b1,9,2020-01-01 01:05
23.3352788317505,0.0,0.0,13,b1,10,2020-01-01 01:05
25.0,49.9999999999999,0.0,13,b1,11,2020-01-01 01:05
0.0,-0.0,0.0,14,f1,0,2020-01-01 01:10
0.0,-0.0,0.0,14,f1,1,2020-01-01 01:10
3.95833333333333,50.0,0.0,14,f1,2,2020-01-01 01:10
7.75170125914913,50.0,0.0,14,f1,3,2020-01-01 01:10
0.0,0.0,89.1437454627907,14,f1,4,2020-01-01 01:10
0.0,0.0,0.0,14,f1,5,2020-01-01 01:10
0.0,-0.0,0.0,14,f1,6,2020-01-01 01:10
0.0,-0.0,0.0,14,f1,7,2020-01-01 01:10
0.0,-0.0,0.0,14,f1,8,2020-01-01 01:10
0.0,-0.0,0.0,14,f1,9,2020-01-01 01:10
1.08696650826512,13.7301032622962,0.0,14,f1,10,2020-01-01 01:10
5.0,50.0,0.0,14,f1,11,2020-01-01 01:10
21.672225708638,0.0,0.0,14,b1,0,2020-01-01 01:10
21.6704188615411,0.0,0.0,14,b1,1,2020-01-01 01:10
