S,p_ch,p_dc,i,s,t,Time
24.2849778473553,0.0,5.0,3,b1,9,2020-01-01 00:15
23.0106928745079,0.0,15.0,3,b1,10,2020-01-01 00:15
21.0877182849592,0.0,22.7995668512889,3,b1,11,2020-01-01 00:15
20.0,0.0,12.7995668512889,3,b1,12,2020-01-01 00:15
1.51931422980133,0.0,10.0,3,f1,1,2020-01-01 00:15
1.04102035568522,0.0,5.55720880404603,3,f1,2,2020-01-01 00:15
1.03061015212836,0.0,0.0,3,f1,3,2020-01-01 00:15
1.02030405060708,0.0,0.0,3,f1,4,2020-01-01 00:15
1.01010101010101,0.0,0.0,3,f1,5,2020-01-01 00:15
1.0,0.0,0.0,3,f1,6,2020-01-01 00:15
1.0,0.126315789978947,0.0,3,f1,7,2020-01-01 00:15
1.26111621935376,3.42462594237757,0.0,3,f1,8,2020-01-01 00:15
2.04017172066022,10.0,0.0,3,f1,9,2020-01-01 00:15
2.01977000345362,0.0,0.0,3,f1,10,2020-01-01 00:15
2.61703801000959,7.79956685128888,0.0,3,f1,11,2020-01-01 00:15
4.0,17.7995668512889,0.0,3,f1,12,2020-01-01 00:15
24.5050171519431,0.0,4.44279119595398,4,b1,1,2020-01-01 00:20
24.0332328811768,0.0,5.36735106484098,4,b1,2,2020-01-01 00:20
24.0091996482957,0.0,0.0,4,b1,3,2020-01-01 00:20
23.9851904486474,0.0,0.0,4,b1,4,2020-01-01 00:20
23.9612052581987,0.0,0.0,4,b1,5,2020-01-01 00:20
23.9372440529405,0.0,0.0,4,b1,6,2020-01-01 00:20
23.9133068088876,0.0,0.0,4,b1,7,2020-01-01 00:20
23.4727268370787,0.0,5.0,4,b1,8,2020-01-01 00:20
22.1992541152416,0.0,15.0,4,b1,9,2020-01-01 00:20
20.6922168840152,0.0,17.8180557966064,4,b1,10,2020-01-01 00:20
20.02002002002,0.0,7.81805579660641,4,b1,11,2020-01-01 00:20
20.0,0.0,0.0,4,b1,12,2020-01-01 00:20
1.04102035568522,0.0,5.55720880404602,4,f1,1,2020-01-01 00:20
1.03061015212837,0.0,0.0,4,f1,2,2020-01-01 00:20
1.02030405060708,0.0,0.0,4,f1,3,2020-01-01 00:20
1.01010101010101,0.0,0.0,4,f1,4,2020-01-01 00:20
1.0,0.0,0.0,4,f1,5,2020-01-01 00:20
1.0,0.126315789978948,0.0,4,f1,6,2020-01-01 00:20
1.0,0.126315789978947,0.0,4,f1,7,2020-01-01 00:20
1.01010101010101,0.25390749702839,0.0,4,f1,8,2020-01-01 00:20
1.0,0.0,0.0,4,f1,9,2020-01-01 00:20
1.21309608300562,2.81805579660641,0.0,4,f1,10,2020-01-01 00:20
2.21572786868119,12.8180557966064,0.0,4,f1,11,2020-01-01 00:20
4.0,22.8180557966064,0.0,4,f1,12,2020-01-01 00:20
23.6471788047912,0.0,10.0,5,b1,1,2020-01-01 00:25
23.5561871410911,0.0,0.80813382197619,5,b1,2,2020-01-01 00:25
23.53263095395,0.0,0.0,5,b1,3,2020-01-01 00:25
23.509098322996,0.0,0.0,5,b1,4,2020-01-01 00:25
23.485589224673,0.0,0.0,5,b1,5,2020-01-01 00:25
23.4621036354484,0.0,0.0,5,b1,6,2020-01-01 00:25
23.0219748668129,0.0,5.0,5,b1,7,2020-01-01 00:25
21.7489528969461,0.0,15.0,5,b1,8,2020-01-01 00:25
20.4772039490492,0.0,15.0,5,b1,9,2020-01-01 00:25
20.0400600801001,0.0,5.0,5,b1,10,2020-01-01 00:25
20.02002002002,0.0,0.0,5,b1,11,2020-01-01 00:25
20.0,0.0,0.0,5,b1,12,2020-01-01 00:25
1.03061015212837,0.0,0.0,5,f1,1,2020-01-01 00:25
1.02030405060708,0.0,0.0,5,f1,2,2020-01-01 00:25
1.01010101010101,0.0,0.0,5,f1,3,2020-01-01 00:25
1.0,0.0,0.0,5,f1,4,2020-01-01 00:25
1.0,0.126315789978913,0.0,5,f1,5,2020-01-01 00:25
1.0,0.126315789978947,0.0,5,f1,6,2020-01-01 00:25
1.02030405060708,0.382788009199546,0.0,5,f1,7,2020-01-01 00:25
1.01010101010101,0.0,0.0,5,f1,8,2020-01-01 00:25
1.0,0.0,0.0,5,f1,9,2020-01-01 00:25
1.21309608300562,2.81805579660641,0.0,5,f1,10,2020-01-01 00:25
2.21572786868119,12.8180557966064,0.0,5,f1,11,2020-01-01 00:25
4.0,22.8180557966064,0.0,5,f1,12,2020-01-01 00:25
23.5764084668311,0.0,0.565477912125115,6,b1,1,2020-01-01 00:30
23.5528320583643,0.0,0.0,6,b1,2,2020-01-01 00:30
23.5292792263059,0.0,0.0,6,b1,3,2020-01-01 00:30
23.5057499470796,0.0,0.0,6,b1,4,2020-01-01 00:30
23.4822441971326,0.0,0.0,6,b1,5,2020-01-01 00:30
23.0420952879354,0.0,5.0,6,b1,6,2020-01-01 00:30
21.7690531976475,0.0,15.0,6,b1,7,2020-01-01 00:30
20.4972841494499,0.0,15.0,6,b1,8,2020-01-01 00:30
20.0601202003004,0.0,5.0,6,b1,9,2020-01-01 00:30
20.0400600801001,0.0,0.0,6,b1,10,2020-01-01 00:30
20.02002002002,0.0,0.0,6,b1,11,2020-01-01 00:30
20.0,0.0,0.0,6,b1,12,2020-01-01 00:30
1.02030405060709,0.0,0.0,6,f1,1,2020-01-01 00:30
1.01010101010102,0.0,0.0,6,f1,2,2020-01-01 00:30
1.00000000000001,0.0,0.0,6,f1,3,2020-01-01 00:30
1.0,0.126315789978885,0.0,6,f1,4,2020-01-01 00:30
1.0,0.126315789978947,0.0,6,f1,5,2020-01-01 00:30
1.02030405060708,0.382788009199547,0.0,6,f1,6,2020-01-01 00:30
1.01010101010101,0.0,0.0,6,f1,7,2020-01-01 00:30
1.0,0.0,0.0,6,f1,8,2020-01-01 00:30
1.0,0.126315789978949,0.0,6,f1,9,2020-01-01 00:30
1.21309608300562,2.81805579660641,0.0,6,f1,10,2020-01-01 00:30
2.21572786868119,12.8180557966064,0.0,6,f1,11,2020-01-01 00:30
4.0,22.8180557966064,0.0,6,f1,12,2020-01-01 00:30
23.5528320583643,0.0,0.0,7,b1,1,2020-01-01 00:35
23.5292792263059,0.0,0.0,7,b1,2,2020-01-01 00:35
23.5057499470796,0.0,0.0,7,b1,3,2020-01-01 00:35
23.4822441971325,0.0,0.0,7,b1,4,2020-01-01 00:35
23.0521605311183,0.0,4.8792170813224,7,b1,5,2020-01-01 00:35
21.78917361877,0.0,14.8792170813224,7,b1,6,2020-01-01 00:35
20.5173844501513,0.0,15.0,7,b1,7,2020-01-01 00:35
