p_gen,i,g,t,Time
5.38278800919955,11,g1,1,2020-01-01 00:55
35.0,11,g1,2,2020-01-01 00:55
35.0,11,g1,3,2020-01-01 00:55
5.12631578997895,11,g1,4,2020-01-01 00:55
10.1263157899789,11,g1,5,2020-01-01 00:55
10.1263157899789,11,g1,6,2020-01-01 00:55
10.1263157899789,11,g1,7,2020-01-01 00:55
10.1263157899789,11,g1,8,2020-01-01 00:55
10.1263157899789,11,g1,9,2020-01-01 00:55
12.8180557966064,11,g1,10,2020-01-01 00:55
22.8180557966064,11,g1,11,2020-01-01 00:55
34.0786899056499,11,g1,12,2020-01-01 00:55
35.0,12,g1,1,2020-01-01 01:00
35.0,12,g1,2,2020-01-01 01:00
5.12631578997893,12,g1,3,2020-01-01 01:00
10.1263157899789,12,g1,4,2020-01-01 01:00
10.1263157899789,12,g1,5,2020-01-01 01:00
10.1263157899789,12,g1,6,2020-01-01 01:00
10.1263157899789,12,g1,7,2020-01-01 01:00
10.126315789979,12,g1,8,2020-01-01 01:00
10.1263157899789,12,g1,9,2020-01-01 01:00
12.8180557966064,12,g1,10,2020-01-01 01:00
22.8180557966064,12,g1,11,2020-01-01 01:00
34.3300608514984,12,g1,12,2020-01-01 01:00
35.0,13,g1,1,2020-01-01 01:05
5.12631578997895,13,g1,2,2020-01-01 01:05
10.1263157899789,13,g1,3,2020-01-01 01:05
10.1263157899789,13,g1,4,2020-01-01 01:05
10.1263157899789,13,g1,5,2020-01-01 01:05
10.1263157899789,13,g1,6,2020-01-01 01:05
10.1263157899789,13,g1,7,2020-01-01 01:05
13.5837956436567,13,g1,8,2020-01-01 01:05
33.5837956436567,13,g1,9,2020-01-01 01:05
35.0,13,g1,10,2020-01-01 01:05
15.0,13,g1,11,2020-01-01 01:05
35.0,13,g1,12,2020-01-01 01:05
5.12631578997895,14,g1,1,2020-01-01 01:10
10.1263157899789,14,g1,2,2020-01-01 01:10
10.1263157899789,14,g1,3,2020-01-01 01:10
10.1263157899789,14,g1,4,2020-01-01 01:10
10.126315789979,14,g1,5,2020-01-01 01:10
14.4726398064101,14,g1,6,2020-01-01 01:10
24.4726398064101,14,g1,7,2020-01-01 01:10
35.0,14,g1,8,2020-01-01 01:10
35.0,14,g1,9,2020-01-01 01:10
15.0,14,g1,10,2020-01-01 01:10
35.0,14,g1,11,2020-01-01 01:10
35.0,14,g1,12,2020-01-01 01:10
10.1263157899789,15,g1,1,2020-01-01 01:15
10.1263157899789,15,g1,2,2020-01-01 01:15
10.1263157899789,15,g1,3,2020-01-01 01:15
10.1263157899789,15,g1,4,2020-01-01 01:15
12.2549754304502,15,g1,5,2020-01-01 01:15
22.2549754304502,15,g1,6,2020-01-01 01:15
35.0,15,g1,7,2020-01-01 01:15
35.0,15,g1,8,2020-01-01 01:15
15.0,15,g1,9,2020-01-01 01:15
35.0,15,g1,10,2020-01-01 01:15
35.0,15,g1,11,2020-01-01 01:15
15.0,15,g1,12,2020-01-01 01:15
10.1263157899789,16,g1,1,2020-01-01 01:20
10.1263157899789,16,g1,2,2020-01-01 01:20
10.1263157899789,16,g1,3,2020-01-01 01:20
10.1263157899789,16,g1,4,2020-01-01 01:20
14.7237674050451,16,g1,5,2020-01-01 01:20
24.7237674050451,16,g1,6,2020-01-01 01:20
29.5035609494822,16,g1,7,2020-01-01 01:20
15.0,16,g1,8,2020-01-01 01:20
35.0,16,g1,9,2020-01-01 01:20
