Time,Pi,dem
2020-01-01 00:00,24.36,0.0
2020-01-01 00:05,24,0.0
2020-01-01 00:10,24,0.0
2020-01-01 00:15,23.99,0.0
2020-01-01 00:20,23.95,0.0
2020-01-01 00:25,10,0.0
2020-01-01 00:30,23.98,0.0
2020-01-01 00:35,23.98,0.0
2020-01-01 00:40,23.93,0.0
2020-01-01 00:45,10,0.0
2020-01-01 00:50,10,0.0
2020-01-01 00:55,10,0.0
2020-01-01 01:00,10,0.0
2020-01-01 01:05,9.98,0.0
2020-01-01 01:10,9.98,0.0
2020-01-01 01:15,9.98,0.0
2020-01-01 01:20,2.03,0.0
2020-01-01 01:25,2.03,0.0
2020-01-01 01:30,10,0.0
2020-01-01 01:35,10,0.0
2020-01-01 01:40,10,0.0
2020-01-01 01:45,9.99,0.0
2020-01-01 01:50,9.99,0.0
2020-01-01 01:55,9.99,0.0
2020-01-01 02:00,0.03,0.0
2020-01-01 02:05,0.03,0.0
2020-01-01 02:10,0.03,0.0
2020-01-01 02:15,0.03,0.0
2020-01-01 02:20,0.03,0.0
2020-01-01 02:25,0.03,0.0
2020-01-01 02:30,0.03,0.0
2020-01-01 02:35,0.03,0.0
2020-01-01 02:40,0.03,0.0
2020-01-01 02:45,0.03,0.0
2020-01-01 02:50,0.03,0.0
2020-01-01 02:55,0.03,0.0
2020-01-01 03:00,0.03,0.0
2020-01-01 03:05,0.03,0.0
2020-01-01 03:10,0.03,0.0
2020-01-01 03:15,0.03,0.0
2020-01-01 03:20,0.03,0.0
2020-01-01 03:25,0.03,0.0
2020-01-01 03:30,0.03,0.0
2020-01-01 03:35,0.03,0.0
2020-01-01 03:40,0.03,0.0
2020-01-01 03:45,0.03,0.0
2020-01-01 03:50,0.03,0.0
2020-01-01 03:55,0.03,0.0
2020-01-01 04:00,0.03,0.0
2020-01-01 04:05,0.03,0.0
2020-01-01 04:10,0.03,0.0
2020-01-01 04:15,7.43,0.0
2020-01-01 04:20,0.03,0.0
2020-01-01 04:25,7.44,0.0
2020-01-01 04:30,0.03,0.0
2020-01-01 04:35,0.03,0.0
2020-01-01 04:40,0.03,0.0
2020-01-01 04:45,0.8,0.0
2020-01-01 04:50,0.8,0.0
2020-01-01 04:55,9.99,0.0
2020-01-01 05:00,9.97,0.0
2020-01-01 05:05,9.99,0.0
2020-01-01 05:10,23.93,0.0
2020-01-01 05:15,23.98,0.0
2020-01-01 05:20,24.1,0.0
2020-01-01 05:25,25.06,0.0
2020-01-01 05:30,24,0.0
2020-01-01 05:35,24,0.0
2020-01-01 05:40,25.1,0.0
2020-01-01 05:45,46.22,0.0
2020-01-01 05:50,54.63,0.0
2020-01-01 05:55,61.38,0.0
2020-01-01 06:00,23.86,0.0
2020-01-01 06:05,30.66,0.0
2020-01-01 06:10,68.35,0.0
2020-01-01 06:15,76.65,0.0
2020-01-01 06:20,88.19,0.0
2020-01-01 06:25,96.39,0.0
2020-01-01 06:30,36.07,0.0
2020-01-01 06:35,59.95,0.0
2020-01-01 06:40,61.42,0.0
2020-01-01 06:45,61.42,0.0
2020-01-01 06:50,72.73,0.0
2020-01-01 06:55,94.09,0.0
2020-01-01 07:00,30.64,0.0
2020-01-01 07:05,36.44,0.0
2020-01-01 07:10,61.28,0.0
2020-01-01 07:15,76.37,0.0
2020-01-01 07:20,95.79,0.0
2020-01-01 07:25,104.49,0.0
2020-01-01 07:30,36.38,0.0
2020-01-01 07:35,43.36,0.0
2020-01-01 07:40,61.28,0.0
2020-01-01 07:45,55.77,0.0
2020-01-01 07:50,61.08,0.0
2020-01-01 07:55,62.39,0.0
2020-01-01 08:00,82.93,0.0
2020-01-01 08:05,93.38,0.0
2020-01-01 08:10,94.69,0.0
2020-01-01 08:15,96.44,0.0
2020-01-01 08:20,99.91,0.0
2020-01-01 08:25,104.52,0.0
2020-01-01 08:30,95.36,0.0
2020-01-01 08:35,96.44,0.0
2020-01-01 08:40,104.34,0.0
2020-01-01 08:45,105.34,0.0
2020-01-01 08:50,104.9,0.0
2020-01-01 08:55,105.33,0.0
2020-01-01 09:00,105.34,0.0
2020-01-01 09:05,106.08,0.0
2020-01-01 09:10,106,0.0
2020-01-01 09:15,106.74,0.0
2020-01-01 09:20,106.13,0.0
2020-01-01 09:25,106.74,0.0
2020-01-01 09:30,104.44,0.0
2020-01-01 09:35,106.74,0.0
2020-01-01 09:40,106.74,0.0
2020-01-01 09:45,106.74,0.0
2020-01-01 09:50,106,0.0
2020-01-01 09:55,105.83,0.0
2020-01-01 10:00,105.83,0.0
2020-01-01 10:05,103.73,0.0
2020-01-01 10:10,101.82,0.0
2020-01-01 10:15,101.27,0.0
2020-01-01 10:20,101.26,0.0
2020-01-01 10:25,101.17,0.0
2020-01-01 10:30,103.73,0.0
2020-01-01 10:35,106.95,0.0
2020-01-01 10:40,107.21,0.0
2020-01-01 10:45,107.21,0.0
2020-01-01 10:50,106.95,0.0
2020-01-01 10:55,105.34,0.0
2020-01-01 11:00,106.95,0.0
2020-01-01 11:05,107.21,0.0
2020-01-01 11:10,106.04,0.0
2020-01-01 11:15,129.46,0.0
2020-01-01 11:20,130.73,0.0
2020-01-01 11:25,129.38,0.0
2020-01-01 11:30,132.82,0.0
2020-01-01 11:35,132.89,0.0
2020-01-01 11:40,134.11,0.0
2020-01-01 11:45,132.68,0.0
2020-01-01 11:50,132.68,0.0
2020-01-01 11:55,132.68,0.0
2020-01-01 12:00,132.78,0.0
2020-01-01 12:05,132.8,0.0
2020-01-01 12:10,132.8,0.0
2020-01-01 12:15,131.76,0.0
2020-01-01 12:20,132.78,0.0
2020-01-01 12:25,116.99,0.0
2020-01-01 12:30,116.99,0.0
2020-01-01 12:35,116.99,0.0
2020-01-01 12:40,132.42,0.0
2020-01-01 12:45,132.58,0.0
2020-01-01 12:50,132.71,0.0
2020-01-01 12:55,132.71,0.0
2020-01-01 13:00,112.61,0.0
2020-01-01 13:05,107.21,0.0
2020-01-01 13:10,107.21,0.0
2020-01-01 13:15,107.21,0.0
2020-01-01 13:20,106.91,0.0
2020-01-01 13:25,106.91,0.0
2020-01-01 13:30,131.83,0.0
2020-01-01 13:35,131.84,0.0
2020-01-01 13:40,131.87,0.0
2020-01-01 13:45,131.89,0.0
2020-01-01 13:50,146.3,0.0
2020-01-01 13:55,143.83,0.0
2020-01-01 14:00,131.83,0.0
2020-01-01 14:05,117.83,0.0
2020-01-01 14:10,117.81,0.0
2020-01-01 14:15,107.33,0.0
2020-01-01 14:20,102.36,0.0
2020-01-01 14:25,107.21,0.0
2020-01-01 14:30,117.05,0.0
2020-01-01 14:35,116.97,0.0
2020-01-01 14:40,131.74,0.0
2020-01-01 14:45,150.38,0.0
2020-01-01 14:50,150.57,0.0
2020-01-01 14:55,151.17,0.0
2020-01-01 15:00,150.52,0.0
2020-01-01 15:05,151.21,0.0
2020-01-01 15:10,151.21,0.0
2020-01-01 15:15,151.29,0.0
2020-01-01 15:20,151.34,0.0
2020-01-01 15:25,151.65,0.0
2020-01-01 15:30,154.65,0.0
2020-01-01 15:35,155.19,0.0
2020-01-01 15:40,155.19,0.0
2020-01-01 15:45,155.5,0.0
2020-01-01 15:50,155.2,0.0
2020-01-01 15:55,154.65,0.0
2020-01-01 16:00,128.55,0.0
2020-01-01 16:05,128.55,0.0
2020-01-01 16:10,128.94,0.0
2020-01-01 16:15,129.18,0.0
2020-01-01 16:20,143.09,0.0
2020-01-01 16:25,142.99,0.0
2020-01-01 16:30,143.09,0.0
2020-01-01 16:35,142.99,0.0
2020-01-01 16:40,142.99,0.0
2020-01-01 16:45,143.09,0.0
2020-01-01 16:50,143.09,0.0
2020-01-01 16:55,143.09,0.0
2020-01-01 17:00,142.8,0.0
2020-01-01 17:05,142.54,0.0
2020-01-01 17:10,130.53,0.0
2020-01-01 17:15,142.54,0.0
2020-01-01 17:20,142.9,0.0
2020-01-01 17:25,142.89,0.0
2020-01-01 17:30,103.57,0.0
2020-01-01 17:35,103.57,0.0
2020-01-01 17:40,126.09,0.0
2020-01-01 17:45,102.65,0.0
2020-01-01 17:50,102.71,0.0
2020-01-01 17:55,101.98,0.0
2020-01-01 18:00,101.53,0.0
2020-01-01 18:05,101.32,0.0
2020-01-01 18:10,101.33,0.0
2020-01-01 18:15,101.24,0.0
2020-01-01 18:20,100.98,0.0
2020-01-01 18:25,100.76,0.0
2020-01-01 18:30,92.71,0.0
2020-01-01 18:35,91.78,0.0
2020-01-01 18:40,92.71,0.0
2020-01-01 18:45,91,0.0
2020-01-01 18:50,83.8,0.0
2020-01-01 18:55,79.58,0.0
2020-01-01 19:00,77.22,0.0
2020-01-01 19:05,66.16,0.0
2020-01-01 19:10,64.2,0.0
2020-01-01 19:15,61.4,0.0
2020-01-01 19:20,47.48,0.0
2020-01-01 19:25,46.89,0.0
2020-01-01 19:30,46.73,0.0
2020-01-01 19:35,46.73,0.0
2020-01-01 19:40,45.86,0.0
2020-01-01 19:45,45.31,0.0
2020-01-01 19:50,45.31,0.0
2020-01-01 19:55,44.29,0.0
2020-01-01 20:00,82.16,0.0
2020-01-01 20:05,82.87,0.0
2020-01-01 20:10,80.72,0.0
2020-01-01 20:15,69.67,0.0
2020-01-01 20:20,69.61,0.0
2020-01-01 20:25,69.57,0.0
2020-01-01 20:30,67.01,0.0
2020-01-01 20:35,67.01,0.0
2020-01-01 20:40,67.2,0.0
2020-01-01 20:45,67.16,0.0
2020-01-01 20:50,67.24,0.0
2020-01-01 20:55,67.24,0.0
2020-01-01 21:00,78.7,0.0
2020-01-01 21:05,78.65,0.0
2020-01-01 21:10,78.65,0.0
2020-01-01 21:15,79.31,0.0
2020-01-01 21:20,80,0.0
2020-01-01 21:25,77.05,0.0
2020-01-01 21:30,91.38,0.0
2020-01-01 21:35,86.54,0.0
2020-01-01 21:40,76.85,0.0
2020-01-01 21:45,76.23,0.0
2020-01-01 21:50,65.95,0.0
2020-01-01 21:55,62.12,0.0
2020-01-01 22:00,100.48,0.0
2020-01-01 22:05,86.75,0.0
2020-01-01 22:10,82.82,0.0
2020-01-01 22:15,77.86,0.0
2020-01-01 22:20,77.26,0.0
2020-01-01 22:25,75.79,0.0
2020-01-01 22:30,75.47,0.0
2020-01-01 22:35,75.47,0.0
2020-01-01 22:40,61.78,0.0
2020-01-01 22:45,60.78,0.0
2020-01-01 22:50,55.31,0.0
2020-01-01 22:55,51.79,0.0
2020-01-01 23:00,85.38,0.0
2020-01-01 23:05,85.71,0.0
2020-01-01 23:10,77.79,0.0
2020-01-01 23:15,77.42,0.0
2020-01-01 23:20,66.52,0.0
2020-01-01 23:25,57.82,0.0
2020-01-01 23:30,78.7,0.0
2020-01-01 23:35,78.52,0.0
2020-01-01 23:40,61.54,0.0
2020-01-01 23:45,61.58,0.0
2020-01-01 23:50,57.5,0.0
2020-01-01 23:55,52.44,0.0
2020-01-02 00:00,152.78,0.0
2020-01-02 00:05,112.07,0.0
2020-01-02 00:10,99,0.0
2020-01-02 00:15,91.21,0.0
2020-01-02 00:20,90.09,0.0
2020-01-02 00:25,87.47,0.0
2020-01-02 00:30,151.08,0.0
2020-01-02 00:35,151.08,0.0
2020-01-02 00:40,151.08,0.0
2020-01-02 00:45,148.85,0.0
2020-01-02 00:50,117.13,0.0
2020-01-02 00:55,110.58,0.0
2020-01-02 01:00,176.25,0.0
2020-01-02 01:05,176.25,0.0
2020-01-02 01:10,151.52,0.0
2020-01-02 01:15,151.52,0.0
2020-01-02 01:20,150.79,0.0
2020-01-02 01:25,150.44,0.0
2020-01-02 01:30,150.79,0.0
2020-01-02 01:35,150.79,0.0
2020-01-02 01:40,146.31,0.0
2020-01-02 01:45,145.42,0.0
2020-01-02 01:50,145.42,0.0
2020-01-02 01:55,142.28,0.0
2020-01-02 02:00,147.31,0.0
